productid,productname,productprice,customerid,customername,quantity,totalprice,area
139,Lightning Gift,660,917,Jkl,2,2001,Vadodra
121,Show Piece,517,914,Dhyey,4,3886,Ahmedabad
138,Lightning Gift,535,915,Naitik,7,500,Matar
117,Office Gifts,583,920,Def,7,1163,Ahmedabad
110,Photo Frames,804,911,Dhruv,9,4815,Surat
138,Sipper,500,918,Dhruv,2,566,Ahmedabad
111,Photo Frames,262,916,Vishwam,5,1269,Surat
119,Show Piece,232,911,Ghi,3,4120,Ahmedabad
141,Customized Bottle,898,912,Naitik,6,3276,Ahmedabad
142,Lightning Gift,227,919,Jkl,2,500,Vadodra
110,Office Gifts,571,915,Abc,26,2257,Ahmedabad
115,Photo Frames,589,917,Jkl,11,500,Vadodra
115,Banner Printing,192,912,Def,2,500,Surat
156,Lightning Gift,298,911,Ghi,3,500,Surat
115,Show Piece,414,919,Ghi,3,500,Surat
133,Lightning Gift,704,920,Jkl,2,1035,Vadodra
122,Banner Printing,229,911,Abc,35,6697,Ahmedabad
111,Photo Frames,234,916,Dhruv,3,500,Kheda
120,Customized Bottle,462,918,Zaki,40,7537,Nadiad
115,Sipper,316,916,Hriday,2,500,Matar
116,Office Gifts,486,917,Dev,16,8529,Ahmedabad
128,Show Piece,485,917,Deep,3,6533,Ahmedabad
148,Customized Bottle,1299,911,Vishwam,36,7463,Surat
110,Show Piece,688,916,Dev,5,500,Matar
151,Lightning Gift,332,920,Ghi,12,1985,Surat
116,Animal Toys,426,918,Def,2,1384,Ahmedabad
110,Office Gifts,248,911,Dhyey,5,12841,Kheda
147,Show Piece,442,913,Abc,10,19469,Ahmedabad
114,Animal Toys,451,915,Dev,2,1659,Ahmedabad
118,Animal Toys,297,915,Naitik,11,2483,Ahmedabad
115,Visiting Card,400,918,Abc,2,7106,Vadodra
110,Visiting Card,414,913,Dhruv,13,1268,Ahmedabad
110,Hoardings,287,918,Hriday,6,1248,Matar
156,Show Piece,622,921,Jkl,41,500,Kheda
110,Visiting Card,369,913,Dhyey,2,3132,Ahmedabad
110,Visiting Card,435,915,Abc,6,3671,Ahmedabad
115,Show Piece,488,917,Deep,2,945,Ahmedabad
144,Visiting Card,432,912,Abc,3,967,Ahmedabad
111,Lightning Gift,458,917,Jkl,62,667,Matar
118,Animal Toys,276,914,Naitik,10,2525,Nadiad
119,Banner Printing,1299,918,Jkl,8,1646,Ahmedabad
111,Visiting Card,274,911,Dhyey,70,500,Ahmedabad
128,Show Piece,528,919,Dhruv,5,500,Vadodra
121,Sipper,640,916,Jkl,5,500,Surat
154,Lightning Gift,712,918,Deep,47,1892,Ahmedabad
116,Sipper,825,911,Dev,27,2245,Ahmedabad
163,Customized Bottle,449,919,Zaki,8,12921,Nadiad
153,Customized Bottle,554,912,Zaki,8,8649,Nadiad
117,Office Gifts,191,917,Dev,9,8891,Nadiad
114,Sipper,1203,916,Dev,100,9372,Ahmedabad
135,Photo Frames,1299,914,Deep,6,7202,Kheda
145,Show Piece,381,918,Jkl,2,500,Vadodra
135,Phone Cases,644,912,Zaki,10,22474,Nadiad
148,Phone Cases,440,917,Jkl,2,500,Surat
116,Banner Printing,485,915,Def,2,500,Surat
140,Phone Cases,340,916,Dhruv,2,1316,Vadodra
110,Lightning Gift,536,919,Dhyey,3,2461,Vadodra
116,Animal Toys,447,915,Def,8,5400,Vadodra
110,Visiting Card,554,919,Abc,2,1426,Ahmedabad
116,Show Piece,195,915,Dhruv,10,500,Ahmedabad
111,Office Gifts,1054,911,Dev,11,4209,Matar
114,Customized Bottle,122,919,Dhruv,3,858,Kheda
139,Photo Frames,501,921,Jkl,2,500,Matar
110,Office Gifts,340,917,Deep,2,8510,Vadodra
110,Sipper,703,915,Ghi,2,738,Ahmedabad
162,Show Piece,472,917,Ghi,2,500,Vadodra
145,Lippan Art,733,917,Jkl,2,500,Ahmedabad
114,Phone Cases,625,921,Abc,2,500,Vadodra
116,Lippan Art,574,919,Abc,6,6442,Ahmedabad
110,Hoardings,100,914,Jkl,7,500,Surat
111,Phone Cases,479,912,Vishwam,6,24484,Vadodra
120,Lippan Art,304,919,Vishwam,2,1802,Vadodra
149,Show Piece,400,916,Def,2,2325,Ahmedabad
113,Hoardings,204,913,Jkl,2,1808,Surat
140,Customized Bottle,579,919,Zaki,2,4584,Ahmedabad
110,Lippan Art,371,914,Deep,2,500,Surat
118,Banner Printing,457,911,Abc,2,1804,Ahmedabad
158,Photo Frames,673,919,Deep,2,798,Matar
112,Office Gifts,1224,911,Abc,2,6958,Ahmedabad
138,Lightning Gift,1299,916,Hriday,98,786,Ahmedabad
113,Photo Frames,532,915,Dhruv,2,500,Matar
116,Banner Printing,440,918,Jkl,2,1447,Vadodra
111,Hoardings,432,918,Dhyey,2,1441,Kheda
138,Office Gifts,508,921,Dhruv,4,1275,Ahmedabad
114,Hoardings,344,912,Zaki,12,1889,Matar
112,Customized Bottle,264,921,Deep,7,5581,Nadiad
110,Visiting Card,249,917,Def,6,7832,Kheda
146,Lightning Gift,200,922,Ghi,2,583,Vadodra
125,Customized Bottle,308,916,Zaki,8,2359,Nadiad
146,Sipper,1188,918,Ghi,4,1078,Nadiad
148,Lippan Art,308,919,Abc,2,3184,Surat
134,Lightning Gift,607,913,Hriday,2,500,Ahmedabad
144,Phone Cases,502,917,Vishwam,2,504,Vadodra
116,Show Piece,515,914,Zaki,4,6906,Ahmedabad
143,Visiting Card,664,918,Jkl,4,1753,Ahmedabad
113,Office Gifts,467,914,Dhruv,10,24099,Surat
156,Customized Bottle,653,917,Zaki,17,3266,Nadiad
154,Visiting Card,373,917,Vishwam,2,524,Ahmedabad
118,Sipper,1072,913,Dhyey,2,500,Surat
114,Lippan Art,199,915,Ghi,8,1450,Surat
140,Lightning Gift,602,921,Jkl,2,1339,Vadodra
122,Visiting Card,320,913,Zaki,8,3785,Surat
118,Office Gifts,1299,919,Dhyey,6,9667,Ahmedabad
119,Customized Bottle,417,920,Def,2,5841,Ahmedabad
157,Customized Bottle,479,913,Deep,2,5830,Ahmedabad
110,Lightning Gift,418,920,Jkl,2,500,Ahmedabad
141,Office Gifts,248,921,Deep,4,549,Vadodra
115,Phone Cases,100,911,Abc,2,500,Surat
121,Office Gifts,371,918,Zaki,2,2723,Vadodra
163,Phone Cases,397,917,Vishwam,2,2282,Nadiad
142,Office Gifts,1299,917,Dhyey,2,6260,Kheda
115,Animal Toys,100,913,Naitik,16,500,Surat
113,Hoardings,382,917,Dhyey,6,1958,Kheda
117,Sipper,126,911,Ghi,7,500,Surat
159,Sipper,700,918,Jkl,2,6971,Vadodra
110,Banner Printing,340,913,Abc,10,4290,Ahmedabad
113,Banner Printing,553,911,Def,2,5113,Matar
121,Animal Toys,100,913,Ghi,6,1787,Surat
115,Show Piece,541,915,Abc,6,1287,Ahmedabad
147,Photo Frames,562,922,Jkl,2,1180,Vadodra
119,Photo Frames,442,920,Naitik,2,500,Vadodra
114,Hoardings,418,912,Dhyey,2,2670,Kheda
141,Sipper,422,911,Vishwam,2,500,Surat
163,Sipper,597,920,Ghi,2,5566,Ahmedabad
118,Animal Toys,415,918,Hriday,71,22762,Vadodra
152,Phone Cases,1292,911,Vishwam,5,1172,Vadodra
120,Visiting Card,290,918,Vishwam,2,500,Ahmedabad
112,Office Gifts,462,911,Dev,57,16560,Ahmedabad
122,Hoardings,189,911,Naitik,3,5009,Vadodra
122,Animal Toys,100,914,Hriday,17,675,Surat
119,Hoardings,379,916,Naitik,3,13220,Surat
147,Phone Cases,331,912,Hriday,2,500,Vadodra
110,Office Gifts,649,917,Dev,100,9778,Matar
120,Customized Bottle,353,918,Abc,3,3732,Surat
117,Lippan Art,502,914,Dhyey,12,4998,Ahmedabad
123,Phone Cases,343,921,Jkl,5,500,Surat
138,Office Gifts,401,911,Abc,10,7966,Ahmedabad
111,Hoardings,101,916,Dhruv,9,1249,Surat
143,Lippan Art,585,918,Jkl,2,500,Ahmedabad
149,Phone Cases,547,917,Vishwam,2,500,Vadodra
110,Visiting Card,538,911,Def,4,3716,Ahmedabad
110,Lippan Art,478,917,Dhyey,31,7921,Kheda
113,Lightning Gift,456,919,Dhyey,9,8880,Kheda
110,Sipper,457,917,Def,4,500,Kheda
143,Customized Bottle,218,917,Zaki,21,7182,Ahmedabad
110,Lightning Gift,653,914,Dhruv,6,1168,Vadodra
118,Photo Frames,100,919,Dhruv,16,1258,Surat
114,Visiting Card,296,915,Dev,7,11043,Vadodra
110,Office Gifts,1299,917,Abc,2,6152,Ahmedabad
111,Banner Printing,564,916,Def,3,6288,Ahmedabad
110,Photo Frames,673,920,Hriday,2,543,Nadiad
144,Customized Bottle,498,921,Deep,8,1309,Ahmedabad
117,Photo Frames,384,920,Ghi,7,5723,Ahmedabad
113,Lippan Art,402,913,Deep,2,500,Vadodra
139,Hoardings,414,919,Hriday,7,793,Vadodra
113,Banner Printing,568,918,Dev,2,7906,Ahmedabad
113,Office Gifts,309,911,Dev,90,14450,Ahmedabad
112,Lippan Art,1242,916,Ghi,11,2477,Ahmedabad
162,Show Piece,357,918,Hriday,2,897,Ahmedabad
112,Lippan Art,456,912,Dhyey,8,6819,Ahmedabad
110,Sipper,1222,916,Abc,2,1006,Ahmedabad
144,Office Gifts,1293,916,Dev,2,5087,Ahmedabad
114,Photo Frames,707,919,Deep,2,500,Vadodra
142,Phone Cases,224,913,Vishwam,2,500,Surat
147,Phone Cases,542,919,Deep,2,860,Vadodra
144,Photo Frames,755,918,Deep,2,500,Nadiad
110,Lippan Art,641,918,Dhyey,100,6629,Kheda
124,Hoardings,187,919,Hriday,100,500,Kheda
118,Show Piece,1299,915,Zaki,100,5717,Nadiad
110,Photo Frames,560,915,Dhyey,6,3552,Ahmedabad
163,Hoardings,1299,919,Zaki,13,25000,Vadodra
110,Sipper,546,911,Hriday,6,500,Ahmedabad
145,Visiting Card,290,917,Abc,4,500,Ahmedabad
147,Phone Cases,256,911,Zaki,2,500,Surat
110,Show Piece,1299,914,Abc,7,3738,Ahmedabad
124,Phone Cases,307,917,Abc,8,2122,Matar
110,Phone Cases,400,919,Jkl,6,500,Nadiad
116,Banner Printing,100,915,Naitik,100,795,Surat
110,Lippan Art,499,920,Dhyey,3,6644,Kheda
118,Photo Frames,1299,915,Deep,2,1126,Matar
150,Phone Cases,677,919,Jkl,2,873,Vadodra
116,Lippan Art,286,913,Dhruv,6,500,Ahmedabad
110,Animal Toys,100,918,Naitik,8,3194,Surat
110,Show Piece,338,919,Vishwam,2,17289,Ahmedabad
147,Lightning Gift,667,919,Jkl,2,500,Vadodra
120,Photo Frames,535,911,Zaki,10,9448,Nadiad
110,Show Piece,1299,911,Zaki,18,621,Surat
150,Lightning Gift,647,918,Jkl,11,2130,Vadodra
117,Lightning Gift,469,916,Zaki,7,25000,Vadodra
143,Customized Bottle,526,918,Jkl,2,825,Vadodra
114,Animal Toys,367,922,Ghi,9,985,Surat
110,Hoardings,296,917,Vishwam,29,522,Ahmedabad
110,Lippan Art,537,920,Deep,15,5173,Kheda
150,Phone Cases,431,920,Vishwam,3,500,Surat
118,Phone Cases,589,914,Vishwam,2,1262,Vadodra
151,Lightning Gift,566,915,Zaki,2,7681,Nadiad
140,Animal Toys,1299,916,Dhyey,32,16348,Ahmedabad
116,Phone Cases,142,917,Dhruv,10,1381,Surat
110,Lippan Art,566,920,Ghi,2,500,Surat
114,Banner Printing,395,918,Ghi,5,6314,Matar
156,Customized Bottle,594,917,Zaki,4,8424,Nadiad
110,Visiting Card,456,911,Abc,8,500,Ahmedabad
117,Hoardings,100,912,Dhruv,96,528,Surat
110,Lippan Art,507,916,Dev,2,5502,Ahmedabad
134,Lightning Gift,632,921,Jkl,2,500,Vadodra
154,Customized Bottle,1165,921,Zaki,2,1401,Nadiad
121,Visiting Card,1299,916,Abc,100,7542,Ahmedabad
156,Sipper,604,912,Abc,3,500,Ahmedabad
155,Banner Printing,191,915,Vishwam,12,545,Vadodra
144,Phone Cases,579,920,Deep,2,864,Vadodra
113,Hoardings,278,911,Dhruv,28,6619,Ahmedabad
116,Banner Printing,348,913,Deep,2,674,Surat
115,Lightning Gift,310,914,Deep,5,2117,Surat
135,Photo Frames,474,911,Dev,11,1835,Ahmedabad
156,Photo Frames,440,911,Deep,2,648,Matar
163,Customized Bottle,519,913,Zaki,11,9232,Nadiad
139,Phone Cases,739,922,Vishwam,2,500,Vadodra
112,Show Piece,479,911,Deep,5,965,Surat
114,Visiting Card,681,919,Dev,6,8389,Ahmedabad
123,Hoardings,353,912,Dhruv,12,1271,Surat
122,Show Piece,207,915,Dhruv,11,500,Surat
110,Show Piece,598,912,Dev,3,4668,Ahmedabad
162,Customized Bottle,756,915,Zaki,28,11537,Nadiad
142,Show Piece,1045,917,Hriday,2,500,Ahmedabad
130,Lightning Gift,471,922,Ghi,2,1158,Ahmedabad
116,Animal Toys,470,911,Deep,4,500,Surat
113,Customized Bottle,216,915,Hriday,6,778,Matar
122,Visiting Card,439,917,Dhruv,9,23039,Ahmedabad
118,Photo Frames,485,922,Deep,2,2963,Surat
114,Animal Toys,157,912,Dhruv,2,500,Surat
122,Photo Frames,280,919,Deep,2,500,Vadodra
118,Lightning Gift,436,920,Def,9,21688,Matar
116,Office Gifts,517,916,Deep,6,8125,Ahmedabad
113,Lippan Art,471,920,Dhyey,15,4396,Kheda
110,Banner Printing,169,918,Dev,2,3134,Ahmedabad
141,Lightning Gift,667,920,Jkl,31,1508,Vadodra
118,Customized Bottle,408,917,Zaki,2,2177,Vadodra
110,Animal Toys,1125,913,Dev,55,5744,Ahmedabad
111,Lippan Art,278,918,Ghi,7,1345,Ahmedabad
113,Banner Printing,100,912,Naitik,7,1063,Surat
149,Phone Cases,172,918,Vishwam,2,1344,Vadodra
148,Lightning Gift,198,918,Zaki,3,1427,Surat
123,Phone Cases,553,919,Jkl,50,6520,Ahmedabad
111,Show Piece,1299,911,Abc,4,4208,Ahmedabad
113,Lightning Gift,507,919,Dhruv,2,500,Vadodra
143,Lippan Art,445,915,Dhruv,2,541,Ahmedabad
140,Sipper,709,914,Hriday,2,500,Kheda
150,Sipper,444,911,Deep,2,500,Ahmedabad
118,Customized Bottle,252,914,Zaki,5,11687,Nadiad
114,Customized Bottle,270,917,Ghi,7,2266,Surat
113,Lippan Art,519,919,Abc,100,25000,Ahmedabad
140,Lippan Art,255,914,Dhyey,56,741,Surat
158,Lightning Gift,627,919,Vishwam,3,601,Ahmedabad
141,Visiting Card,609,917,Abc,2,9209,Ahmedabad
136,Phone Cases,354,917,Vishwam,2,500,Vadodra
115,Sipper,507,915,Dhyey,2,500,Surat
117,Photo Frames,587,914,Deep,2,1340,Matar
110,Show Piece,649,916,Abc,2,25000,Ahmedabad
155,Photo Frames,455,920,Vishwam,2,863,Vadodra
163,Customized Bottle,534,911,Zaki,25,11672,Nadiad
110,Phone Cases,271,914,Dhruv,3,1757,Vadodra
160,Visiting Card,215,914,Dhruv,11,6457,Surat
110,Visiting Card,193,918,Jkl,12,882,Ahmedabad
127,Office Gifts,359,917,Def,36,8685,Ahmedabad
116,Show Piece,542,920,Def,3,629,Ahmedabad
110,Office Gifts,387,911,Dhyey,2,23708,Ahmedabad
115,Show Piece,1299,921,Dhyey,2,4765,Kheda
117,Sipper,222,912,Hriday,9,11385,Surat
118,Office Gifts,1299,913,Abc,2,8715,Ahmedabad
121,Photo Frames,580,912,Dhyey,2,500,Kheda
113,Visiting Card,471,918,Jkl,4,748,Ahmedabad
110,Banner Printing,332,914,Dev,2,500,Surat
147,Customized Bottle,1296,914,Zaki,8,17819,Nadiad
125,Photo Frames,371,918,Abc,5,11186,Surat
140,Sipper,1299,915,Dev,2,1432,Ahmedabad
150,Sipper,409,917,Hriday,2,17280,Nadiad
142,Show Piece,742,919,Jkl,3,733,Ahmedabad
110,Show Piece,517,918,Abc,2,19664,Ahmedabad
116,Banner Printing,100,919,Dhruv,7,1009,Surat
112,Visiting Card,457,920,Deep,2,6148,Ahmedabad
150,Visiting Card,398,912,Abc,2,5996,Kheda
110,Animal Toys,100,914,Naitik,2,500,Surat
110,Show Piece,255,916,Dhruv,2,2669,Ahmedabad
151,Phone Cases,608,922,Jkl,2,500,Vadodra
118,Photo Frames,364,915,Ghi,5,16321,Surat
110,Photo Frames,335,918,Dev,54,1704,Vadodra
122,Banner Printing,360,915,Dhyey,3,1881,Ahmedabad
110,Lippan Art,913,916,Dhruv,15,5294,Kheda
155,Office Gifts,801,922,Def,5,6167,Nadiad
152,Customized Bottle,554,913,Zaki,25,8272,Nadiad
134,Visiting Card,1289,911,Dev,3,15033,Ahmedabad
120,Hoardings,150,911,Naitik,7,590,Ahmedabad
120,Banner Printing,304,911,Dhruv,8,17013,Surat
158,Sipper,530,920,Ghi,15,6125,Surat
163,Customized Bottle,413,917,Zaki,6,25000,Nadiad
116,Sipper,459,917,Hriday,2,2291,Ahmedabad
114,Hoardings,199,916,Deep,22,1248,Surat
113,Lightning Gift,114,915,Naitik,2,16914,Surat
156,Lightning Gift,529,918,Def,20,7426,Vadodra
118,Lippan Art,100,915,Naitik,13,500,Surat
119,Phone Cases,633,918,Vishwam,3,4510,Ahmedabad
116,Banner Printing,182,911,Deep,2,3992,Surat
161,Lippan Art,254,914,Zaki,2,1672,Nadiad
139,Lippan Art,584,920,Def,2,2856,Ahmedabad
135,Lightning Gift,606,917,Vishwam,2,500,Vadodra
118,Animal Toys,1154,921,Dev,10,1585,Ahmedabad
153,Banner Printing,327,911,Vishwam,2,872,Vadodra
120,Show Piece,568,915,Def,2,23250,Ahmedabad
112,Sipper,580,919,Dev,2,7237,Kheda
110,Photo Frames,1299,918,Deep,2,6206,Matar
114,Office Gifts,380,915,Abc,61,8987,Ahmedabad
147,Customized Bottle,602,912,Dhyey,2,5500,Ahmedabad
112,Office Gifts,503,912,Dev,100,25000,Ahmedabad
140,Lightning Gift,547,921,Deep,13,4184,Surat
110,Show Piece,488,915,Dev,5,6631,Ahmedabad
120,Lippan Art,572,917,Dhyey,16,7206,Nadiad
110,Show Piece,422,916,Dev,2,500,Kheda
154,Animal Toys,240,919,Naitik,2,2086,Ahmedabad
141,Lightning Gift,455,915,Hriday,2,500,Ahmedabad
113,Hoardings,528,914,Vishwam,10,1012,Vadodra
110,Office Gifts,1299,914,Abc,100,1513,Matar
110,Visiting Card,405,917,Zaki,100,8580,Ahmedabad
120,Lippan Art,684,912,Deep,2,8027,Ahmedabad
118,Animal Toys,267,919,Ghi,10,500,Ahmedabad
146,Phone Cases,471,922,Def,2,500,Vadodra
123,Photo Frames,345,921,Deep,5,500,Matar
150,Phone Cases,656,922,Jkl,2,640,Vadodra
143,Lightning Gift,675,919,Jkl,2,500,Vadodra
145,Visiting Card,993,915,Dev,21,25000,Ahmedabad
110,Lippan Art,528,912,Dev,9,3518,Vadodra
145,Lippan Art,681,916,Zaki,69,4344,Ahmedabad
110,Hoardings,131,912,Dhyey,10,500,Surat
123,Photo Frames,1259,917,Deep,6,1791,Kheda
110,Sipper,435,915,Dhyey,6,500,Ahmedabad
118,Show Piece,443,919,Vishwam,8,1665,Vadodra
146,Photo Frames,164,921,Vishwam,2,713,Surat
124,Hoardings,100,911,Dhruv,80,1120,Surat
132,Office Gifts,559,922,Jkl,2,1390,Vadodra
149,Lippan Art,1152,916,Abc,2,1922,Kheda
139,Phone Cases,473,917,Hriday,2,843,Ahmedabad
110,Photo Frames,266,917,Dhruv,8,500,Ahmedabad
159,Show Piece,532,921,Def,4,1682,Matar
118,Lightning Gift,546,918,Vishwam,2,500,Vadodra
110,Lippan Art,350,912,Dhyey,3,500,Kheda
148,Lippan Art,1299,913,Vishwam,10,5833,Kheda
123,Banner Printing,522,914,Vishwam,28,11006,Ahmedabad
149,Phone Cases,543,918,Zaki,4,7752,Matar
155,Lightning Gift,561,921,Zaki,3,500,Vadodra
110,Hoardings,379,919,Dhruv,7,9732,Surat
158,Customized Bottle,494,913,Zaki,14,7752,Nadiad
115,Show Piece,570,911,Dev,15,25000,Ahmedabad
140,Banner Printing,488,918,Jkl,8,20250,Vadodra
135,Lightning Gift,404,912,Abc,2,1562,Ahmedabad
116,Banner Printing,178,913,Ghi,2,932,Vadodra
116,Lightning Gift,372,912,Deep,2,500,Vadodra
112,Office Gifts,720,911,Dev,100,21201,Ahmedabad
142,Animal Toys,142,917,Ghi,2,685,Surat
115,Visiting Card,355,911,Abc,2,1106,Ahmedabad
110,Customized Bottle,1299,918,Dhyey,2,4387,Ahmedabad
139,Sipper,522,915,Abc,2,500,Ahmedabad
117,Animal Toys,324,921,Ghi,3,1714,Surat
134,Phone Cases,666,915,Hriday,41,1613,Ahmedabad
112,Visiting Card,381,913,Zaki,100,8773,Ahmedabad
112,Hoardings,106,922,Dhruv,6,4729,Vadodra
111,Customized Bottle,1069,915,Dhyey,100,3418,Ahmedabad
118,Animal Toys,337,915,Ghi,2,581,Ahmedabad
118,Lippan Art,566,917,Dhyey,12,500,Kheda
150,Phone Cases,508,916,Jkl,54,1178,Vadodra
110,Visiting Card,508,914,Dhyey,2,2406,Ahmedabad
117,Office Gifts,250,911,Jkl,2,1225,Matar
114,Visiting Card,1299,914,Jkl,40,7314,Ahmedabad
146,Lippan Art,374,919,Dhyey,45,7285,Kheda
112,Show Piece,313,919,Ghi,42,6535,Matar
124,Customized Bottle,499,914,Dhyey,4,1179,Ahmedabad
124,Phone Cases,427,918,Jkl,27,500,Vadodra
120,Customized Bottle,413,919,Dhruv,2,500,Ahmedabad
156,Lightning Gift,529,918,Jkl,2,500,Vadodra
146,Phone Cases,177,912,Vishwam,3,500,Surat
151,Customized Bottle,358,915,Ghi,100,7153,Ahmedabad
113,Photo Frames,367,921,Hriday,2,500,Ahmedabad
140,Photo Frames,659,917,Abc,2,15808,Ahmedabad
145,Animal Toys,471,920,Zaki,89,7670,Ahmedabad
115,Lippan Art,449,911,Def,13,500,Ahmedabad
144,Show Piece,635,919,Vishwam,13,500,Ahmedabad
134,Show Piece,536,918,Zaki,10,10523,Nadiad
117,Lippan Art,135,911,Naitik,3,500,Surat
110,Banner Printing,100,912,Vishwam,2,500,Surat
128,Office Gifts,399,911,Ghi,8,6776,Nadiad
133,Photo Frames,531,916,Dhyey,2,6285,Surat
122,Customized Bottle,455,915,Dhyey,9,1897,Kheda
145,Sipper,519,916,Vishwam,2,500,Ahmedabad
120,Customized Bottle,265,921,Dhruv,7,14735,Ahmedabad
110,Show Piece,758,916,Zaki,2,5713,Ahmedabad
112,Hoardings,173,914,Ghi,3,1324,Surat
114,Hoardings,291,917,Zaki,9,936,Surat
113,Animal Toys,198,918,Vishwam,5,500,Matar
110,Lightning Gift,371,916,Ghi,3,7990,Ahmedabad
113,Animal Toys,1299,913,Hriday,100,7616,Nadiad
144,Lightning Gift,525,919,Jkl,2,16455,Ahmedabad
145,Visiting Card,269,918,Dhyey,2,1736,Ahmedabad
110,Animal Toys,1299,914,Naitik,5,5680,Ahmedabad
114,Office Gifts,1299,919,Abc,100,5720,Ahmedabad
144,Animal Toys,446,917,Abc,2,1629,Ahmedabad
110,Hoardings,246,918,Dhruv,8,500,Surat
142,Lightning Gift,384,918,Hriday,2,549,Ahmedabad
147,Photo Frames,100,915,Dhruv,3,1325,Surat
150,Photo Frames,677,917,Zaki,5,1447,Matar
150,Photo Frames,362,917,Deep,3,1353,Surat
113,Photo Frames,693,914,Dhruv,2,1051,Matar
117,Show Piece,406,921,Dhruv,11,3086,Ahmedabad
110,Office Gifts,135,911,Dhruv,2,712,Kheda
113,Phone Cases,303,919,Abc,2,8250,Vadodra
113,Lightning Gift,357,918,Dhruv,2,2535,Surat
126,Photo Frames,330,922,Zaki,2,500,Matar
144,Lightning Gift,374,917,Vishwam,2,500,Vadodra
113,Photo Frames,608,914,Deep,2,500,Ahmedabad
144,Show Piece,558,919,Zaki,11,1240,Vadodra
137,Visiting Card,729,913,Jkl,2,8761,Ahmedabad
114,Show Piece,457,918,Dhyey,11,4405,Ahmedabad
142,Office Gifts,100,919,Dhruv,8,500,Surat
152,Phone Cases,331,917,Vishwam,100,500,Nadiad
114,Photo Frames,348,914,Vishwam,4,500,Vadodra
138,Show Piece,431,919,Dhyey,25,786,Nadiad
149,Lightning Gift,535,917,Ghi,3,4084,Vadodra
144,Sipper,589,922,Vishwam,2,1305,Vadodra
163,Customized Bottle,642,914,Zaki,17,1922,Nadiad
160,Photo Frames,367,917,Deep,2,1325,Matar
118,Lippan Art,564,912,Abc,2,500,Surat
144,Phone Cases,549,918,Vishwam,2,1089,Vadodra
153,Sipper,615,918,Deep,5,6527,Vadodra
119,Animal Toys,429,912,Zaki,2,688,Surat
116,Photo Frames,337,922,Ghi,2,1110,Surat
115,Customized Bottle,575,913,Dhyey,5,12376,Vadodra
119,Visiting Card,448,919,Dhyey,89,500,Ahmedabad
148,Sipper,772,915,Zaki,2,1098,Ahmedabad
118,Lippan Art,481,921,Deep,2,1410,Ahmedabad
146,Hoardings,213,914,Vishwam,31,3156,Vadodra
119,Photo Frames,516,921,Dhruv,2,1048,Matar
147,Visiting Card,1299,918,Jkl,2,1830,Vadodra
124,Hoardings,100,917,Vishwam,2,1359,Surat
117,Lightning Gift,296,919,Dhruv,2,1397,Vadodra
117,Hoardings,421,917,Dhruv,12,1717,Surat
112,Customized Bottle,642,912,Vishwam,22,3916,Kheda
132,Animal Toys,410,921,Hriday,74,500,Ahmedabad
112,Animal Toys,453,911,Hriday,4,500,Ahmedabad
116,Banner Printing,100,919,Deep,35,8122,Surat
150,Office Gifts,582,915,Vishwam,2,734,Vadodra
137,Show Piece,600,921,Ghi,2,500,Kheda
120,Photo Frames,309,916,Vishwam,2,760,Vadodra
117,Visiting Card,100,913,Zaki,7,813,Surat
110,Lightning Gift,707,920,Jkl,2,579,Vadodra
113,Sipper,498,913,Hriday,5,986,Ahmedabad
144,Banner Printing,133,912,Def,2,500,Surat
152,Sipper,636,912,Naitik,100,758,Ahmedabad
122,Lippan Art,1299,914,Dev,7,2999,Kheda
110,Lightning Gift,100,920,Dhruv,2,1130,Matar
149,Sipper,569,917,Hriday,6,685,Vadodra
113,Hoardings,100,914,Naitik,8,500,Surat
155,Lippan Art,168,913,Dhruv,6,825,Surat
150,Customized Bottle,422,917,Naitik,2,794,Ahmedabad
117,Office Gifts,236,915,Hriday,2,8478,Ahmedabad
120,Hoardings,100,913,Zaki,11,4438,Surat
111,Animal Toys,612,918,Dhyey,2,500,Kheda
118,Lightning Gift,625,922,Hriday,4,1144,Vadodra
115,Customized Bottle,457,916,Dhyey,12,12077,Kheda
117,Hoardings,100,919,Dhruv,10,500,Kheda
134,Office Gifts,565,911,Def,2,500,Ahmedabad
127,Photo Frames,367,914,Dhruv,9,1139,Vadodra
122,Hoardings,149,913,Def,9,500,Surat
119,Photo Frames,368,913,Vishwam,10,2231,Ahmedabad
114,Phone Cases,591,921,Jkl,2,5488,Vadodra
124,Customized Bottle,100,913,Naitik,28,1092,Surat
110,Photo Frames,449,916,Dhyey,7,3628,Kheda
112,Lightning Gift,491,919,Dhruv,2,6298,Ahmedabad
135,Photo Frames,367,917,Zaki,2,500,Ahmedabad
110,Banner Printing,100,916,Ghi,12,500,Surat
113,Show Piece,523,913,Ghi,26,9239,Ahmedabad
139,Customized Bottle,1299,915,Dhruv,2,500,Vadodra
124,Lippan Art,430,913,Abc,13,5868,Ahmedabad
110,Sipper,1299,916,Dhyey,7,7300,Matar
115,Banner Printing,100,913,Dhruv,11,500,Surat
146,Banner Printing,344,913,Vishwam,2,603,Vadodra
145,Phone Cases,278,916,Jkl,2,1259,Ahmedabad
110,Office Gifts,1299,915,Zaki,6,7928,Kheda
119,Show Piece,680,920,Dev,13,708,Ahmedabad
116,Visiting Card,385,919,Def,4,1783,Ahmedabad
116,Hoardings,100,917,Dhruv,5,1360,Surat
